Ward No.,Name of Bulk Garbage Generators (>100kgs per day),Type of Bulk Garbage Generator,Name of In-charge of the Bulk Garbage Generator,Contact,Whether On-site composting is being practised?,Exact Location of on-site composting,Name of the Person in-charge of the on-site composting facility,"Contact details of the Person in-charge.
(Mobile + Office)",Whether the Bulk Generator has IEC Messaging (Amitabh Bachchan - Composting)  of MoHUA in place ?
24,Palm Grave Appartment,Residential,,,Yes,Biobin within the premises,,,
25,Heera Crescent,Residential,,,Yes,Biobin within the premises,,,
25,SFS Royal Green Appartment,Residential,,,Yes,Biobin within the premises,,,
25,Choice Heights ,Residential,,,Yes,Biobin within the premises,,,
25,Skyline Palace Court,Residential,,,Yes,Biobin within the premises,,,
18,Sun Suphair,Residential,,,Yes,Biobin within the premises,,,
18,SFS Pattom square,Residential,,,Yes,Biobin within the premises,,,
18,Smrithi Retreet,Residential,,,Yes,Biobin within the premises,,,
98,Oceanus Rainbow Apartment,Residential,,,Yes,Biobin within the premises,,,
24,Heera Welmount Aparment,Residential,,,Yes,Biobin within the premises,,,
44,Heera Gate Apartment,Residential,,,Yes,Biobin within the premises,,,
23,Skyline Golflink Apartment,Residential,,,Yes,Biobin within the premises,,,
93,Marutham Gate Apartment,Residential,,,Yes,Biobin within the premises,Balachandran,9447834101,
27,Soundarya Apartment,Residential,,,Yes,Biobin within the premises,,,
27,West wind owner's Association,Residential,,,Yes,Biobin within the premises,,,
24,Season's Apartment,Residential,,,Yes,Biobin within the premises,Jomon Joseph,944639233,
49,Amritha Apartment,Residential,,,Yes,Biobin within the premises,,,
94,Mansion Pooja Apartment,Residential,,,Yes,Biobin within the premises,,,
98,Oceanus Serinity Apartment,Residential,,,Yes,Biobin within the premises,,,
25,Heera cresent,Residential,,,Yes,Biobin within the premises,Jomon Joseph,944639233,
25,SFS Royel green appartment,Residential,,,Yes,Biobin within the premises,,,
25,Cliff dale appartments,Residential,,,Yes,Biobin within the premises,Jomon Joseph,944639233,
25,Plamootil appartments,Residential,,,Yes,Biobin within the premises,,,
18,Innu appartments,Residential,,,Yes,Biobin within the premises,,,
93,Manshan pegathi appartments,Residential,,,Yes,Biobin within the premises,,,
24,SFS Cherihills appartments,Residential,,,Yes,Biobin within the premises,,,
29,White hyvan appartments ,Residential,,,Yes,Biobin within the premises,,,
29,Cottonhill hights appartments,Residential,,,Yes,Biobin within the premises,,,
29,Horison park appartments,Residential,,,Yes,,,,
29,HEERA park appartments,Residential,,,Yes,Biobin within the premises,,,
44,HEERA heritage appartments,Residential,,,Yes,Biobin within the premises,,,
94,Nikunjam monark appartments,Residential,,,Yes,Biobin within the premises,,,
94,EMS nagar residence association appartments,Residential,,,Yes,Biobin within the premises,,,
17,Sky line mepple hights appartments,Residential,,,Yes,Biobin within the premises,,,
17,HEERA kinara appartments,Residential,,,No,,,,
17,HEERA kinara classic appartments,Residential,,,Yes,Biobin within the premises,,,
17,Faovurity homes due drops appartments,Residential,,,Yes,Biobin within the premises,,,
81,PRS court appartments,Residential,,,Yes,Biobin within the premises,,,
32,Muthoot green vally mist appartments,Residential,,,Yes,Biobin within the premises,,,
98,RBS tranqil appartments,Residential,,,Yes,Biobin within the premises,,,
7,ADS moon light appartments,Residential,,,Yes,Biobin within the premises,Sathi,9562570418,
82,PRS shan grilla appartments,Residential,,,Yes,Biobin within the premises,,,
1,faovurity homes dream castil appartments,Residential,,,Yes,Biobin within the premises,,,
22,Sky line plaza appartments,Residential,,,Yes,Biobin within the premises,,,
21,Journalist collany appartments,Residential,,,Yes,Thumboormoozhi Model Aerobic bin located within the compound,"Prasanth, JHI",9496434487,
90,Madre de Deus Church,Religious Place,,,No,,,,
44,R D R Auditorium,Kalyana Mandapam,,,No,,,,
13,Sooryaprabha Convention Centre,Kalyana Mandapam,,,Yes,Biogas plant located within the compound,,,
93,Sree Narayana Birth Centenary Building Committee,Religious Place,,,No,,,,
12,Kottackattu Convention Centre,Kalyana Mandapam,,,No,,,,
31,Kousthubham Auditorium,Kalyana Mandapam,,,No,,,,
27,"Muslim Association Hall,Nandavanam",Kalyana Mandapam,,,No,,,,
80,Bhajanappura Mandapam,Kalyana Mandapam,,,Yes,Biogas plant located between Sudarsan Kalyanamandapam and Vaikundam Kalyanamandapam,Rajendran,9447350628,
31,Akhilam Auditorium,Kalyana Mandapam,,,No,,,,
80,Karthika Thirunal Auditorium,Banquet Hall,,,No,,,,
13,Revathy Auditorium,Banquet Hall,,,No,,,,
27,"Bhagyamala Auditorium,Palayam",Kalyana Mandapam,,,No,,,,
27,"St.Joseph's Cathedral Church,Palayam",Religious Place,,,No,,,,
23,"Winndsor Rajadhani,Kowdiar",Banquet Hall,,,No,,,,
81,The Residency Tower,Banquet Hall,,,No,,,,
6,"Hotel Park Rajadhani (A sub unit of Hotel Panchali),Fort",Banquet Hall,,,No,,,,
27,Bishop Pereira Hall,Banquet Hall,,,No,,,,
80,Ananthasayanam,Kalyana Mandapam,,,Yes,Biogas plant located between Sudarsan Kalyanamandapam and Vaikundam Kalyanamandapam,Rajendran,9447350628,
80,Sudarsan,Kalyana Mandapam,,,Yes,Biogas plant located between Sudarsan Kalyanamandapam and Vaikundam Kalyanamandapam,Rajendran,9447350628,
80,Panchajanyam,Kalyana Mandapam,,,Yes,,,,
39,Alakapuri ,Kalyana Mandapam,,,Yes,,,,
80,Sreevaikundam,Kalyana Mandapam,,,Yes,Biogas plant located between Sudarsan Kalyanamandapam and Vaikundam Kalyanamandapam,Rajendran,9447350628,
80,Mahalekshmi ,Kalyana Mandapam,,,Yes,Biogas plant located between Sudarsan Kalyanamandapam and Vaikundam Kalyanamandapam,Rajendran,9447350628,
44,Ananthapuri Auditorium,Kalyana Mandapam,,,No,,,,
80,Rajadhani Kalyanamandapam,Kalyana Mandapam,,,No,,,,
29,Sreemoolam Club,Banquet Hall,,,No,,,,
70,Devi Auditorium,Kalyana Mandapam,,,No,,,,
80,Lalit Mahal,Kalyana Mandapam,,,No,,,,
80,Sreevalsam Kalyanamandapam,Kalyana Mandapam,,,No,,,,
70,Attukal Devi Temple,Religious Place,,,No,,,,
80,Sumangali Kalyanamandapam,Kalyana Mandapam,,,No,,,,
83,Sri Chitra Home,Poor Home,,,Yes,Biogas plant located within the compound,Arun S Nair JHI ,9496434469,
81,Connect Hall Of Hotel Hycinth,Banquet Hall,,,Yes,Biogas plant located within the premises,Manigopal,9400000749,
83,Sreekanteswaram Temple,Religious Place,,,No,,,,
27,Hotel South Park,Banquet Hall,,,No,,,,
15,Pattom Royal Hotel,Banquet Hall,,,No,,,,
81,"Apollo Dimora, Thampanoor",Banquet Hall,,,No,,,,
25,Kanakakunnu Palace,Banquet Hall,,,No,,,,
63,The Leela Raviz ,Banquet Hall,,,Yes,Biogas plant located within the compound,Biju,9349987247,
25,Harmony Hall of Muscot Hotel,Banquet Hall,,,Yes,,,,
29,"P Subramanyam Hall,Vazhuthacaud",Banquet Hall,,,Yes,Organic Waste Converter located within the compound,Karunakaran,9447970746,
28,"Vivanta By Taj,Kovalam",Banquet Hall,,,Yes,Biogas plant located within the campus,Rajesh,9947493382,
1,Al Saj Convention Centre,Banquet Hall,,,Yes,Biogas plant located within the premises,Riyas,9847730455,
25,Hotel Prasanth ,Banquet Hall,,,No,,,,
82,Mourya Rajadhani,Banquet Hall,,,No,,,,
,Kaimanam N S S Karayogam No.3012,Kalyana Mandapam,,,Yes,,,,
81,Hotel Horizon,Banquet Hall,,,Yes,Biogas plant located within the premises,Sreekantan,9447217138,
27,Indian Coffee House,Restaurant,,,Yes,Biogas plant located within the campus,Manager,9072576975,
27,Nadan Thattukada,Restaurant,,9400189412,Yes,,,,
27,South Park,Restaurant,,,No,,,,
81,Keys Hotel,Restaurant,,,Yes,Biogas plant located within the premises,Niran Babu,8086079914,
81,Poorna Hotel,Restaurant,,9495935533,Yes,Biogas plant located within the premises,,,
81,Hycinth,Restaurant,,9447770789,Yes,Biogas plant located within the premises,Manigopal,9400000749,
81,Appollo Dimora,Restaurant,,,No,,,,
82,Hotel Pankaj,Restaurant,,9447036969,No,,,,
28,S P Grand Days,Restaurant,,,No,,,,
2,Intimate Agasthya,Residential ,,,Yes,Organic Waste Converter within the premises,,,
27,TMC Office,Office,,,Yes,Thumboormoozhi Model Aerobic bin located within the compound,"Gopakumar M N, JHI",9496434464,
26,Legeslative Assembly Complex,Office,,,Yes,Biogas plant and Aerobic bin located within the compound,Kumar,9495317924,
81,Govt. Secretariat,Office,,,Yes,Biogas plant located within the campus,,,
40,Hotel City Palace,Restaurant,,,,Biogas plant installed within the compound,Ramesh,7907633056,
13,Hotel Aqua Rock,Restaurant,,,Yes,Biogas plant installed within the compound,Bhadrasenan,9745636330,
84,NSS Women's Hostel,Hostel,,,Yes,Biogas plant located within the campus,Shyni,9846023798,
82,Thriveni Nursing Home,Hospital,,,Yes,Biogas plant located within the city,Sreekumaran Nair,9847318701,
92,Artech Deepam,Apartments,,,Yes,Biobin within the premises,,,
93,Fooddys Ecstasy,Catering Service,,,Yes,Biogas plant within the compound,Anoop Premlal,9544008884,
27,Palayam Police Quarters,Residential,,,Yes,Organic Waste Converter within the compound,Vahab,9497960270,
27,Vikas Bhavan Police Quarters,Residential,,,Yes,Organic Waste Converter within the compound,Sudarsanan,9496252955,
63,Hotel Samudra KTDC,Hotel,,,Yes,Biogas plant located withi the compound,Rajeev,8075271998,
27,Reserve Bank Office,Office,,,Yes,Biogas plant located within the campus,,,
